DOY;T2M;T2M_MIN;T2M_MAX;RH2M;WS2M
1;10.87;7.21;15.65;86.44;1.29
2;11.44;9.26;14.94;90.31;2.7
3;10.38;7.92;13.66;87.62;2.87
4;10.35;6.94;15.15;90.19;2.12
5;11.1;7.62;15.66;85.69;1.73
6;9.32;6.0;12.03;90.31;3.29
7;7.51;3.94;12.43;82.06;2.8
8;9.1;5.05;13.46;83.38;1.47
9;10.26;6.58;13.22;89.0;2.84
10;9.49;5.88;12.67;89.88;4.3
11;7.69;4.41;12.23;76.56;2.6
12;8.68;5.77;12.12;88.38;1.63
13;11.17;8.82;12.75;97.0;3.1
14;11.19;8.16;14.8;88.69;1.54
15;10.1;7.53;14.12;88.38;1.25
16;9.73;7.08;12.27;95.62;1.79
17;11.26;8.48;14.89;91.38;1.53
18;10.1;7.94;12.9;93.75;1.75
19;11.23;8.44;13.31;93.69;2.55
20;12.28;11.38;13.37;93.5;2.59
21;12.94;11.56;14.49;92.62;3.55
22;12.56;9.96;14.82;95.19;1.74
23;11.33;9.09;14.58;93.31;1.79
24;11.94;10.2;14.85;96.44;2.02
25;11.12;8.69;15.17;90.94;1.59
26;12.06;9.8;15.28;88.88;1.02
27;11.95;9.79;14.57;92.94;1.63
28;14.52;10.8;19.63;90.06;1.62
29;13.74;9.75;18.99;88.69;1.38
30;13.3;11.3;16.74;90.94;1.73
31;13.16;11.39;14.52;89.75;4.48
32;10.79;8.58;13.55;90.38;2.03
33;9.97;8.21;12.73;84.19;2.76
34;9.4;7.89;11.19;86.88;2.2
35;11.13;6.69;15.4;87.94;7.15
36;11.11;8.91;13.06;82.31;3.18
37;10.04;8.09;13.42;83.38;1.96
38;8.8;6.8;11.26;87.38;4.09
39;8.55;5.62;12.69;84.31;1.73
40;8.73;5.7;13.12;85.75;1.57
41;10.26;6.6;15.1;79.56;2.02
42;11.3;8.8;16.01;87.56;0.99
43;10.33;7.23;14.81;88.56;1.21
44;10.63;8.49;14.27;89.19;1.55
45;11.15;9.4;13.25;94.12;2.86
46;11.45;8.86;15.29;88.81;1.41
47;12.06;8.46;16.17;87.81;1.38
48;11.94;9.71;13.37;94.44;3.16
49;12.57;8.85;16.25;90.38;3.11
50;12.7;9.86;14.62;89.75;4.52
51;11.03;8.65;13.6;90.31;1.95
52;10.88;8.6;14.3;87.25;1.77
53;11.78;8.23;15.58;81.62;0.93
54;11.31;7.19;15.66;85.12;1.97
55;14.39;8.92;19.49;72.5;1.29
56;12.33;9.49;16.46;86.88;1.66
57;11.69;7.81;14.97;89.19;2.59
58;10.15;5.32;15.35;75.56;2.45
59;11.9;9.06;16.67;80.12;1.34
60;11.12;9.18;13.56;91.69;3.84
61;10.94;9.44;12.2;87.38;4.85
62;9.28;8.18;10.37;79.88;4.9
63;8.98;7.05;11.41;80.75;3.16
64;9.87;6.48;13.01;81.94;2.19
65;11.6;9.78;14.23;91.69;2.37
66;11.42;8.72;14.03;92.12;1.7
67;10.79;7.46;15.53;81.5;2.48
68;11.37;7.26;17.75;76.25;1.49
69;10.49;8.02;13.83;89.0;2.19
70;11.16;8.15;13.94;83.44;2.59
71;10.77;7.24;14.2;83.62;2.21
72;12.0;9.05;14.97;87.12;3.17
73;11.9;7.41;16.61;74.19;2.89
74;12.63;8.93;17.05;64.56;3.64
75;14.31;9.93;18.99;63.38;2.59
76;13.29;9.36;18.67;83.81;1.7
77;12.62;8.27;18.97;85.31;1.93
78;13.08;9.46;18.82;86.12;1.67
79;12.19;9.12;16.98;87.81;2.38
80;11.72;7.64;16.49;84.25;2.24
81;12.43;9.58;16.31;86.5;1.67
82;12.83;9.32;16.49;88.88;2.82
83;10.58;9.01;12.35;87.69;3.2
84;11.39;8.6;15.15;84.75;3.86
85;11.28;8.48;15.01;86.31;3.11
86;11.25;7.77;15.73;85.38;2.28
87;11.08;8.34;13.5;94.25;2.75
88;10.98;8.59;14.28;82.25;2.44
89;10.41;9.08;12.01;89.62;3.69
90;10.94;8.46;14.55;81.25;2.39
91;12.38;9.59;16.69;83.75;1.75
92;13.29;7.8;19.69;76.94;1.73
93;13.19;9.54;18.8;82.31;1.55
94;11.43;7.9;15.76;84.44;3.52
95;7.61;4.99;9.03;84.06;2.54
96;8.59;4.89;12.0;80.75;3.09
97;9.62;5.65;13.97;80.81;2.36
98;10.73;6.54;15.17;82.0;2.62
99;12.76;7.4;19.05;78.69;2.27
100;14.37;9.58;21.33;79.81;1.34
101;15.44;10.09;23.16;77.75;1.06
102;14.65;10.55;20.34;82.94;1.95
103;11.87;9.18;14.51;85.5;3.11
104;10.5;8.12;13.24;83.38;3.52
105;10.19;6.8;15.06;83.88;2.73
106;12.1;7.88;17.31;83.75;1.66
107;14.23;9.06;20.94;81.5;1.43
108;15.6;11.26;22.5;77.31;1.52
109;14.96;10.91;20.33;79.56;1.34
110;13.12;9.6;17.19;84.69;2.3
111;13.94;10.25;18.76;81.81;2.89
112;15.94;9.84;23.22;80.44;1.77
113;15.49;11.3;21.73;78.44;1.88
114;13.28;11.06;16.45;76.88;2.71
115;13.44;10.55;17.33;77.88;1.92
116;13.31;10.57;16.76;82.75;3.55
117;13.62;10.02;17.33;81.5;4.06
118;12.95;8.82;17.83;80.44;2.93
119;13.76;9.31;18.94;80.75;3.55
120;13.43;8.98;19.62;74.69;3.72
121;13.16;7.66;19.39;74.75;2.77
122;14.33;8.49;20.91;66.75;2.58
123;14.46;8.85;20.55;80.12;2.93
124;14.33;9.61;19.81;77.06;2.5
125;10.87;8.2;12.22;85.19;3.9
126;10.74;7.47;14.86;77.12;3.14
127;12.04;7.86;16.58;83.38;2.7
128;13.42;8.05;18.99;73.94;2.54
129;16.23;11.05;21.01;58.5;2.88
130;18.12;12.13;25.73;59.56;2.01
131;17.59;11.4;25.1;72.0;1.35
132;16.43;11.89;22.3;78.69;2.01
133;14.23;10.23;18.42;83.0;2.29
134;13.28;9.73;18.02;81.06;2.5
135;14.0;9.51;19.55;81.31;2.2
136;14.07;9.97;19.71;81.62;2.45
137;13.64;10.42;17.87;82.56;2.61
138;14.25;10.42;19.77;81.62;1.99
139;13.41;10.1;18.26;83.94;2.55
140;14.07;9.42;20.3;77.94;2.56
141;14.74;9.03;21.1;72.19;2.2
142;16.83;10.67;24.69;64.12;2.05
143;15.86;10.09;23.56;74.25;2.54
144;14.92;9.44;22.12;67.75;2.82
145;12.54;9.58;16.26;82.25;3.94
146;12.77;9.43;16.85;81.12;3.37
147;14.15;8.75;20.4;77.56;2.08
148;13.62;9.58;18.56;80.31;2.59
149;14.81;10.01;20.51;76.25;3.55
150;16.63;9.89;24.05;65.94;2.72
151;17.81;11.11;25.59;63.12;1.95
152;16.69;11.26;22.98;69.5;2.05
153;15.47;10.36;21.69;74.69;3.86
154;16.46;11.39;22.12;74.5;3.36
155;16.07;12.51;20.18;76.31;3.46
156;19.76;11.84;28.44;65.44;2.55
157;19.62;13.9;26.99;67.31;1.84
158;16.58;12.05;21.5;72.88;2.25
159;14.61;10.53;19.5;79.81;2.71
160;14.97;11.58;19.7;79.38;3.18
161;15.63;11.65;21.46;76.56;3.03
162;16.48;10.59;23.76;73.19;2.09
163;18.83;10.89;27.88;67.31;1.88
164;16.51;11.86;21.61;74.44;2.32
165;14.7;10.61;19.66;76.75;3.17
166;15.9;10.55;21.36;69.06;3.77
167;16.7;10.55;24.4;63.81;3.52
168;16.72;11.26;23.04;59.56;3.67
169;17.1;10.06;24.02;56.31;2.7
170;17.26;11.26;24.22;55.44;2.29
171;14.27;10.04;19.62;75.44;2.76
172;14.21;9.95;19.24;77.69;2.79
173;15.4;9.96;21.44;73.75;2.57
174;17.3;9.97;24.63;66.44;1.68
175;16.43;11.48;22.49;72.0;2.45
176;16.32;10.89;22.25;71.69;2.27
177;16.72;12.02;22.57;68.44;2.52
178;16.09;12.01;20.58;71.25;3.8
179;16.52;11.4;21.91;68.81;2.95
180;18.15;11.03;25.43;62.94;1.95
181;18.27;11.78;23.8;66.0;2.16
182;19.88;14.37;26.44;61.0;2.77
183;19.85;13.61;26.01;60.5;1.98
184;23.68;16.8;30.81;48.31;1.43
185;23.42;16.62;30.32;50.12;1.32
186;19.93;14.86;26.09;66.88;1.74
187;20.0;13.39;27.01;67.25;2.14
188;20.23;14.62;26.86;66.31;2.09
189;17.95;13.76;22.81;76.75;2.64
190;16.64;12.44;21.32;75.75;2.69
191;16.69;13.13;21.13;80.94;2.62
192;19.4;12.33;27.24;70.56;1.62
193;20.7;13.78;27.66;62.94;1.61
197;15.95;12.55;20.08;79.19;2.67
198;15.73;12.98;19.57;79.0;2.88
199;17.58;12.4;23.42;74.19;2.68
200;19.28;13.06;25.64;69.62;2.34
201;21.49;13.81;30.04;57.88;2.21
202;20.11;14.87;26.6;67.19;3.12
203;18.55;14.03;24.28;72.0;3.06
204;19.41;13.34;25.59;66.19;1.7
205;20.37;14.26;26.22;57.75;1.65
206;19.19;15.65;24.35;66.25;2.13
207;18.08;13.26;23.63;69.88;2.8
208;16.58;12.69;22.18;73.5;3.28
209;15.15;12.73;18.48;82.19;3.2
210;16.3;12.29;21.4;78.94;2.62
211;16.27;12.37;20.19;80.25;3.0
212;17.59;12.98;22.9;79.69;2.76
213;17.6;12.57;22.97;76.94;2.13
214;18.13;12.6;24.15;72.19;2.22
215;18.9;14.15;24.79;68.88;1.77
216;19.02;14.73;24.21;69.25;2.06
217;17.35;13.15;22.88;75.5;2.53
218;16.48;12.12;21.36;78.25;2.61
219;18.34;11.9;25.21;67.12;2.0
220;17.73;12.98;23.64;67.75;2.38
221;17.01;13.15;21.76;74.19;2.81
222;16.73;12.25;21.81;76.75;3.06
223;18.26;12.58;25.08;70.5;2.68
224;16.59;12.97;20.73;78.06;2.91
225;16.54;12.73;21.24;77.06;3.39
226;17.43;12.39;23.37;72.94;3.06
227;18.61;13.14;25.34;71.25;3.25
